,id,a
0,301396116,Muyange-Gasoho
1,498682537,Rusengo
2,672626781,Kobero
3,1343330461,Gitandu
4,1343357989,Butwe
5,1343387467,Mahwa
6,1343387469,Kiryama
7,1343387471,Kiremba
8,1343414237,Vyuya
9,1343414243,Nyakararo
10,1343414246,Ijenda
11,1344526635,Gitaba
12,1344545310,Banda
13,1344545313,Gatete
14,1344545314,Karonda
15,1344562634,Buhonga
16,1344947977,Nyagasasa
17,1345786372,Ruvuye
18,1345802549,Nyange
19,1345802550,Ntirwonza
20,1345802552,Dunga
21,1345802553,Bigugo
22,1345809290,Rangi
23,1345848178,Mugege
24,1345856440,Tetero
25,1345856441,Nyakatsi
26,1345856444,Rurengera
27,1347112607,Butora
28,1347112609,Mweya
29,1347117124,Gitibu
30,1347117126,Gikora
31,1347127241,Nyabisinda
32,1347127245,Kibongera
33,1347127250,Rugari
34,1347127257,Murama
35,1347127259,Nyabibuye
36,1347134533,Ruyange
37,1347134536,Rubarazi
38,1347134537,Nyangwe
39,1347134538,Mirama
40,1347139978,Gakere
41,1347139979,Cayi
42,1347143267,Gikuyo
43,1347143268,Gikomero
44,1347150637,Kigozi
45,1347153561,Rusengo
46,1347160916,Ruganza
47,1347160926,Butegana
48,1347179717,Bubenga
49,1347208021,Rusenda
50,1347215841,Gasenyi
51,1409506454,Matara
52,1539116965,Rubimba
53,1541909344,Buraniro
54,1543867924,Kibungo
55,1641861624,Nuyange
56,1673541100,Ruziba
57,1673572838,Resha
58,1673582520,Kamesa
59,1691655515,Gihofi
60,1719097789,Yaranda
61,1719183367,Gisagara
62,1736075572,Buta
63,1752306648,Buruhukiro
64,1948214600,Kabonga
65,2013668476,Mutimbuzi
66,2081168988,Vugizo
67,2190804443,Gatabo
68,2306784457,Butahana
69,2306992955,Musenyi
70,2307027554,Teza
71,2312090116,Vumwe
72,2312128925,Mukoni
73,2329644476,Mutambara
74,2334712992,Kabo
75,2334712993,Kazirabageni
76,2334712995,Mvugo
77,2334712996,Rimbo
78,2339102118,"Source d'eau de la C R B, U.C KAREMERA"
79,2386187672,Gaseru
80,2783139047,Kibuye
81,3034908168,Kayongozi
82,3041548505,Tangara
83,3041567810,Gisanze
84,3042995151,Gasenyi
85,3049396906,Mutoyi
86,3051520601,Kiyonza
87,3051549073,Rubuga
88,3051549074,Rutega
89,3051552705,Murehe
90,3051565486,Marembo
91,3051565487,Gatare
92,3084809685,Nzove
93,3086225644,Rubura
94,3086259125,Campazi
95,3086267375,Mubuga
96,3089792353,Nyabitare
97,3090937646,Mugera
98,3091023746,Mubuga
99,3122555478,Gakungu
100,3122564881,Kwisumo
101,3122572447,Ngoma
102,3122580529,Maranvya
103,3122584829,Nyabiraba
104,3124351985,Nyagatovu
105,3125135578,Mutumba
106,3125142625,Kigwena
107,3126201213,Rutsindu
108,3126206317,Kibimba
109,3126212255,Ntunda
110,3126218306,Kaniha
111,3126223273,Munzenze
112,3126226665,Muzirangerera
113,3126245927,Kirasira
114,3126256298,Solero
115,3126259271,Nkongwe
116,3128517254,Nyeshenza
117,3130252768,Ruzo
118,3130261310,Mugano
119,3130272159,Gasave
120,3130287665,Buhoro
121,3130291102,Murore
122,3130293469,Nyagisozi
123,3130305406,Gisenyi
124,3130310742,Mukerwa
125,3130324341,Shombo
126,3130326391,Kigoma
127,3130329185,Kigina
128,3130329552,Kiyanza
129,3130335566,Ryarusera
130,3131277063,Mubira
131,3131281467,Kivoga
132,3131309465,Bukamba
133,3131311050,Gitwa
134,3131333062,Rugoti
135,3131340197,Senga
136,3204421949,Mugogo
137,3204433857,Rubaragaza
138,3204436847,Gashurushuru
139,3204439166,Nombe
140,3212229662,Masango
141,3212252161,Kibogoye
142,3218321177,Munini
143,3227944334,Rusengo
144,3251072665,Mageyo
145,3251072666,Kigamba
146,3251074346,Nyarunazi
147,3251080821,Muyange
148,3251094996,Nyankanda
149,3251094997,Munyinya
150,3251097601,Musenyi
151,3251098809,Kanyinya
152,3253764640,Gitongo
153,3253819953,Buyenzi
154,3253826761,Kiyenzi
155,3253826799,Nyabugete
156,3253843707,Gasarara
157,3253872854,Mbuga
158,3259272540,Rambwe
159,3259276201,Muyebe
160,3259280145,Miheto
161,3259291161,Mutaho
162,3259291162,Kinyamugera
163,3259291163,Buraniro
164,3259293861,Musema
165,3259306247,Gitaramuka
166,3259306248,Murenguko
167,3259306249,Gatongati
168,3259313316,Fota
169,3259313317,Kibimba
170,3260112475,Rukana
171,3260247222,Ruhororo
172,3260379210,Rumeza
173,3260379211,Manyoni
174,3262060687,Butegana
175,3263349760,Nyarubanga
176,3263593347,Gihongoro
177,3263593348,Kiyange
178,3263593802,Gatabo
179,3263658919,Mugeni
180,3265387028,Muhafu
181,3265446634,Gitwenge
182,3265451229,Rusigabangazi
183,3274011586,Kivubo
184,3285110498,Renga
185,3298864898,Nyagahara
186,3302884597,Ngoro
187,3312193983,Nyavyamo
188,3312210932,Rorero
189,3312487775,Kiziba
190,3314518173,Rubirizi
191,3319833915,Gatwe
192,3323581333,Mugere
193,3323645375,Mungwa
194,3325293463,Murenge
195,3325342919,Kabanga
196,3327451832,Gikomero
197,3328558669,Kibimba
198,3328759795,Kanyami
199,3328787521,Rutyazo
200,3328787562,Rubanga
201,3328963114,Gakwende
202,3330919002,Gitwe
203,3330919003,Murayi
204,3330919004,Kirimbi
205,3330919005,Muremera
206,3330946044,Gasenyi
207,3330946045,Nyarunazi
208,3342266566,Rwibaga
209,3352948420,Mugara
210,3353093832,Munini
211,3356061601,Kinazi
212,3356061602,Butarugera
213,3356061603,Buzigo
214,3356061604,Rutamo
215,3356061605,Ntwago
216,3356061606,Mugendo
217,3356061607,Mugina
218,3356146558,Murehe
219,3356146560,Kagogo
220,3356146561,Ndava
221,3356146562,Buramata
222,3356150585,Mugina
223,3356150586,Gishiha
224,3356150587,Martyazo
225,3356181786,Gitabi
226,3356223468,Mudende
227,3356223469,Mutumba
228,3356363540,Karehe
229,3356363541,Nyagisozi
230,3356365919,Gacu
231,3356365920,Mihigo
232,3356365921,Gatoke
233,3356365954,Kinanira
234,3356445308,Muzenze
235,3356448364,Bunyerere
236,3356507644,Gatimbiri
237,3368526437,Mpinga
238,3371825021,Jene
239,3376660148,Korineza
240,3376660149,Rukago
241,3517566307,Bugoma
242,3517578468,Kabanga
243,3520105087,Musave
244,3520161448,Banga
245,3537197249,Gahandu
246,3538923752,Bwatemba
247,3539247741,Kajabure
248,3547691719,Mugoyi
249,3561062623,Bukeye
250,3580749007,Minyare
251,3584496967,Muhama
252,3596514918,Nyamutobo
253,3596566587,Kizenga
254,3596610318,Nyankanda
255,3596610319,Rubaho
256,3628906102,Birambi
257,3629250112,Rukeco
258,3629282046,Rwegura
259,3631745497,Mihigo
260,3632962719,Mutwenzi
261,3633023279,Bukuba
262,3633025533,Mudida
263,3633025534,Muramba
264,3655682732,Nyabigina
265,3658768595,Nyabibondo
266,3666084513,Remesha
267,3916812977,Nyakuguma
268,3917219048,Rweza
269,3918860880,Micokora
270,3922117073,Rugazi
271,3923300957,Giko
272,3925605162,Martyazo
273,3925605212,Gitaramuka
274,3927408367,Gitsiro
275,3927496629,Benga
276,3927500972,Bugeni
277,3927523646,Bunywera
278,3933130951,Rwisabi
279,3933131172,Murongwe
280,3933131173,Kibungo
281,3933131174,Kibimba
282,3933147233,Mutara
283,3934196507,Ryamukona
284,3934272769,Mivo
285,3934272770,Kabere
286,3936254568,Kaburantwa
287,3936437700,Shinge
288,3936437701,Buhoro
289,3936437702,Rubangabanga
290,3936437703,Kabagari
291,3936437704,Kamonyi
292,3936437705,Giseke
293,3936437706,Gishungo
294,3936483200,Kageyo
295,3937838003,Gacokwe
296,3937838006,Buhonga
297,3938702043,Sigu
298,3938702044,Ngara
299,3938702045,Bukobe
300,3938702049,Murambo
301,3944599576,Bamba
302,3944599577,Ntamba
303,3944599590,Mukugu
304,3944623108,Yandaro
305,3944623109,Kavoga
306,3944650007,Rwamiko
307,3944650568,Murangara
308,3945666847,Kigarama
309,3945671117,Ruyenzi
310,3945671118,Kiziba
311,3945671119,Mureke
312,3945671120,Nyamugari
313,3947725699,Kivoga
314,3948404674,Muramba
315,3953663957,Rutongo
316,3954178843,Mubogora
317,3954396477,Ruziba
318,3954396478,Maranvya
319,3954396479,Mitakataka
320,3955088680,Nyamakarabo
321,3955088681,Magongwe
322,3955160851,Mayuki
323,3955235270,Mumbanza
324,3955235271,Miduha
325,3955235493,Murambi
326,3955235494,Ruhagarika
327,3955268659,Muyange
328,3956104315,Misaba
329,3978330677,Buringa
330,3983203267,Kibumbu
331,3983908560,Ntita
332,3984134721,Mukindu
333,3984242544,Rukaramu
334,3984570105,Gihumgwe
335,3999208766,Murengeza
336,3999457049,Muzinda
337,4000005878,Murago
338,4000071718,Camazi
339,4011259311,Buye
340,4011401484,Gisuka
341,4011570304,Bahizi
342,4011570306,Murambi
343,4011570307,Bartye
344,4020100752,Muterama
345,4020100753,Gahororo
346,4020100754,Mivo
347,4020100755,Musaswe
348,4020100756,Nyabigina
349,4020100757,Mahinda
350,4020419658,Bigomogomo
351,4023536135,Kabebe
352,4023536136,Murore
353,4023536138,Mwaka
354,4023536140,Nyamagandika
355,4023536141,Nyabitanga
356,4023720075,Rubande
357,4023720076,Songa
358,4023720078,Bitare
359,4023809914,Teka
360,4023809915,Nyangungu
361,4023809917,Kidahanwa
362,4023809920,Nyamugari
363,4023809926,Mutobo
364,4023809928,Nzunga
365,4023850408,Gasuru
366,4024236726,Nyeshanga
367,4024236729,Murira
368,4024236732,Rugunga
369,4024236733,Randa
370,4024853760,Burarana
371,4025902759,Ramba
372,4025902777,Kibingo
373,4025902778,Kashi
374,4025902779,Rutumo
375,4025902780,Munege
376,4025902781,Kibumba
377,4025902782,Rukinga
378,4025902797,Kayabazi
379,4025902798,Maguruka
380,4026118883,Mukarimbi
381,4026119105,Gitaba
382,4026119106,Burenza
383,4026119147,Ndago
384,4026236271,Buta
385,4027224482,Kayange
386,4028111475,Gitohwe
387,4028111700,Mpumbu
388,4028111706,Ruko
389,4028111707,Ntentamaza
390,4028111728,Musasa
391,4028201522,Muyaga
392,4028201523,Mutobo
393,4029826747,Gikurazo
394,4029826748,Kabanga
395,4033535645,Cimabare
396,4033535646,Gwiti
397,4033946617,Ruyaga
398,4033946628,Muremera
399,4033946633,Rukoma
400,4033946644,Ruhehe
401,4033946646,Butemba
402,4033946647,Bigoti
403,4033946648,Nkuba
404,4033946649,Nyetongwe
405,4033962748,Ninga
406,4034626372,Gahama
407,4034687383,Gisenyi
408,4034687408,Kaganza
409,4034687409,Kanyinya
410,4034687416,Rubindi
411,4034687425,Rukina
412,4034744420,Muyebe
413,4039275661,Mariza
414,4039277337,Bubera
415,4039277346,Ruhora
416,4040582588,Cewe
417,4041376355,Mubanga
418,4041382006,Mwurire
419,4041382019,Kiruri
420,4041382020,Kigutu
421,4041921782,Nyagatovu
422,4042146746,Itwe
423,4042146751,Musimba
424,4042146753,Nyamirambo
425,4042146754,Mpinga
426,4042146761,Mparo
427,4042146890,Butwe
428,4042146909,Giytwenge
429,4042146910,Gahororo
430,4042180033,Musama
431,4042180034,Kigarama
432,4042180035,Kabuye
433,4043294522,Kirehe
434,4043294618,Kibaya
435,4048144072,Gisha
436,4048274348,Gakenke
437,4048726354,Kabaribari
438,4048949671,Canika
439,4048949672,Kigeme
440,4048998434,Muramba
441,4050110413,Kigari
442,4050161206,Runyankezi
443,4050161219,Karama
444,4050161603,Giheta
445,4053085944,Gisenyi
446,4053085952,Burarana
447,4053247509,Nyarurama
448,4053287834,Kwibuka
449,4053287888,Gataba
450,4053291504,Ntunda
451,4053726092,Mugutu
452,4053726111,Gatwaro
453,4053791253,Nkubara
454,4053791292,Rabiro
455,4053811001,Rubavu
456,4053811032,Bitare
457,4060191376,Kivungwe
458,4060216214,Gasarwe
459,4060218029,Mubone
460,4060299659,Kinima
461,4060364277,Kiganza
462,4060364287,Gisagazuba
463,4065223379,Makombe
464,4065224141,Ruyenzi
465,4065224181,Gakoni
466,4065285632,Cagizo
467,4065285646,Kamaramagambo
468,4065285677,Murehe
469,4065286607,Rukenke
470,4065286616,Mugongo
471,4065365165,Kayove
472,4065365184,Vumasi
473,4065365185,Murama
474,4066135686,Nyarungazi
475,4069980234,Kayogoro
476,4073266070,Remba
477,4073266071,Gahama
478,4073266072,Kwitaba
479,4073266944,Kiyonga
480,4073467928,Nyamiyaga
481,4073467953,Nyakazu
482,4073468061,Gasunu
483,4073590494,Murembera
484,4073590495,Ruhongoro
485,4073590496,Kabanga
486,4073590500,Murehe
487,4073590501,Mwegereza
488,4073590502,Kigarika
489,4119085435,Nyantakara
490,4119108949,Nyamure
491,4128138223,Murara
492,4174563720,Gisanze
493,4234575382,Biganda
494,4293260557,Busaga
495,4309298025,Gasegerwa
496,4309378780,Butanganika
497,4346168954,Kagari
498,5435758774,Karimbi
499,5435784221,Yanza
500,5435788869,Kugatongo
501,5435832226,Rucunda
502,5435832306,Namande
503,5518611832,Komonanira
504,5592675201,Mwivuza
505,5667079986,Gasanda
506,5667968927,Kayero
507,5669733090,Burwana
508,5673616513,Biyorwa
509,5675805082,Shanga
510,5676015076,Gatobo
511,5678080743,Bugendajoro
512,5678080962,Nyakirera
513,5678081002,Karago
514,5686164193,Buziragahama
515,5703333820,Rurama
516,5709916812,Busoro
517,5735133282,Nyamugari
518,5739896619,Rukamba
519,5775277661,Buhororo
520,5775277678,Mparamirundi
521,5775331028,Muhaganya
522,5775377783,Butanuka
523,5775819838,Buvumbi
524,5775878667,Kibuye
525,5775878749,Carubambo
526,5775880556,Ceru
527,5777155326,Bigwana
528,5777187254,Munanira
529,5777187256,Bihunge
530,5777211966,Bitezi
531,5777280061,Biziya
532,5777280062,Cunamwe
533,5777280084,Gahera
534,5777280105,Gahosha
535,5777280141,Gahweza
536,5777280143,Gakuba
537,5777801944,Gasasa
538,5777802375,Gasenyi
539,5777802516,Gasongati
540,5777914496,Gatabo
541,5777914497,Gatagura
542,5781410124,Gitubwe
543,5781424560,Kibezi
544,5781426198,Gitwa
545,5781447549,Gitwe
546,5781447550,Gitwenzi
547,5782889661,Muhindo
548,5782889662,Murehe
549,5782889671,Miciro
550,5783038715,Gwingiri
551,5783038720,Gwiyange
552,5783777559,Ibuga
553,5783777575,Janja
554,5783777577,Jenda
555,5783777620,Kabasazi
556,5783777640,Kabogo
557,5783941471,Kabuga
558,5783941472,Kabumbe
559,5783941474,Kagoma
560,5783941494,Kavumu
561,5783941495,Nyakarambo
562,5783943062,Kibande
563,5784356173,Kibezi
564,5784356174,Kiganda
565,5784356183,Kigoma
566,5784356209,Kigutu
567,5784356210,Kinyovu
568,5784436688,Kirama
569,5784436695,Kiremera
570,5784436700,Kirombwe
571,5784436705,Kirumura
572,5784436708,Kivuzo
573,5784489048,Kumana
574,5784489049,Mbariza
575,5784489050,Mbizi
576,5784489467,Migezi-Nete
577,5784574784,Mihama
578,5784574785,Mihigo
579,5784574787,Mirehe
580,5784574791,Mpehe
581,5784574793,Mpota
582,5784574796,Mubanga
583,5784574798,Mubanga
584,5784574799,Ciya
585,5784574802,Mufunya
586,5784574803,Mugano
587,5784643177,Mugerero
588,5784643179,Mugogo
589,5784643229,Muhago
590,5784643247,Buororo
591,5784643248,Muhoroge
592,5784761537,Muhwazi
593,5784761539,Mukanda
594,5784761540,Mumuri
595,5784761541,Munguko
596,5784761542,Munyange
597,5784761960,Munyinya
598,5784761962,Murambi
599,5819022504,Ndora
600,5859256105,Misugi
601,5859256133,Buhinda
602,5859256134,Muvumero
603,5859256135,Muyogoro
604,5859256144,Nyangwa
605,5859256162,Uwimpfizi
606,5861480502,Ntabandwa
607,5882259846,Gihango
608,6046974518,Miremera
609,6046974519,Muhungu
610,6046974520,Nyamitanga
611,6047236340,Kavumwe
612,6047236341,Nyabigozi
613,6047236342,Ruyaga
614,6047296563,Twinkwavu
615,6049214672,Budatyora
616,6049327271,Vyuma
617,6051212892,Karunga
618,6051287653,Bubanza
619,6051298034,Buhororo
620,6051303827,Buhayira
621,6051338071,Masango
622,6054509714,Taba
623,6055237516,Gihango
624,6056017655,Buhumba
625,6060824479,Intende
626,6060886355,Masaka
627,6060886356,Ngomo
628,6060886388,Kidasha
629,6060886389,Shoza
630,6060886409,Mika
631,6060886410,Ndava
632,6060886411,Mukoni
633,6061059690,Gatwenzi
634,6061059691,Nyamihondi
635,6061059698,Nyamirambo
636,6061059699,Kayenzi
637,6061059700,Nkoyoyo
638,6061059701,Nyamarumba
639,6061059702,Cibari
640,6061059703,Ruyivyi
641,6061059705,Ryabihira
642,6061059706,Gitongwe
643,6061059707,Burima
644,6061138950,Kaguhu
645,6061196517,Gikingo
646,6061196518,Burambira
647,6061208718,Nyagatovu
648,6061208719,Musama
649,6061798366,Gatakazi
650,6061798367,Kagunga
651,6061798368,Yove
652,6061798369,Mungwa
653,6061843305,Rurimbi
654,6066768716,Musumba
655,6066768717,Munazi
656,6067426033,Ruveri
657,6067426034,Nyamigina
658,6068329522,Nyarucamo
659,6069024778,Nkonyovu
660,6069024779,Nyarunazi
661,6071744890,Gaharo
662,6083614296,Rubirizi
663,6813955725,Gatanga
664,6813964104,Nyankara
665,6814023769,Kinoso
666,6822912756,Kagurutsi
667,6828134629,Kiri
668,6828134632,Rubuga
669,6828134633,Rugasa
670,6828134634,Nyamabuye
671,6828134635,Gitwe
672,6828354836,Bugongo
673,6828354837,Murara
674,6829102880,Rurira
675,6829102881,Nyabugeni
676,6830828128,Nyarurambi
677,6830828129,Kivumu
678,6830828130,Rjungu
679,6830828131,Mashiga
680,6830828136,Kibungo
681,6830828137,Rwamvura
682,6830828138,Rusagara
683,6830828139,Rusagara
684,6830828140,Nyabigugu
685,6830828141,Gitanga
686,6830828173,Saswe
687,6830949991,Mburi
688,6830949992,Ruramba
689,6830949993,Nkoro
690,6830949994,Gisoko
691,6831202574,Buheka
692,6831202575,Gasaba
693,6831653920,Kigaza
694,6842041422,Remesha
695,6853806531,Narunyazi
696,6853806578,Kiyange
697,6853806886,Karongwe
698,6853806887,Mabago
699,6853806900,Shori
700,6853937672,Maranvya
701,6855520191,Kinyovu
702,6856284598,Nyembuye
703,6858598335,Mugomera
704,6859130155,Nyungu
705,6859161311,Kagozi
706,6859179214,Murima
707,6867615076,Muyaga
708,6873401302,Kananira
709,6873401348,Kiyanza
710,6873401449,Rugongo
711,6873493051,Kirambi
712,6873665211,Kirambi
713,6887360771,Ngina
714,6887366736,Rongero
715,6894159803,Bucana
716,6894185370,Shango
717,6896675334,Rushiha
718,6898234617,Dusenga
719,6903998052,Rugongo
720,6903998053,Kabuyenge
721,6903998056,Gashirwe
722,6904063095,Mayuyu
723,6910645528,Nyakayi
724,6910659569,Miguruka
725,6910676606,Dutwe
726,6910676607,Bikobe
727,6913005788,Kizuga
728,6917106271,Ruranga
729,6925672722,Gisikara
730,6960024757,Kidasha
731,6970380700,Gakana
732,6996339054,Rusamaza
733,7003551633,Vyanzo
734,7021497368,Rusi
735,7103331350,Buruhukiro
